name_key,Y_t1,Y_t2,delta_Y,dose,NAME
orting,0.882913538783688,0.9236140951554717,0.040700556371783714,3624.4,Orting School District
othello,0.7358625006368532,0.7842386430369626,0.048376142400109345,1517.1688857743518,Othello School District
pasco,0.7624142282639986,0.7839884998681096,0.02157427160411096,2327.3970241856723,Pasco School District
pe ell,0.8285714285714285,0.86,0.03142857142857147,2781.021897810219,Pe Ell School District
peninsula,0.8559995826575925,0.8635985215047307,0.007598938847138248,3673.800986104886,Peninsula School District
pomeroy,0.8424489795918285,0.8468622448979536,0.004413265306125069,4841.558441558442,Pomeroy School District
port angeles,0.8015007653387377,0.7988698487367171,-0.0026309166020206387,2639.5833333333335,Port Angeles School District
port townsend,0.7976644441662961,0.8626908703237894,0.06502642615749332,4594.227504244483,Port Townsend School District
prosser,0.7769545004769435,0.8332807721399285,0.056326271662984984,1776.558073654391,Prosser School District
pullman,0.9403416520301422,0.9450323184031875,0.004690666373045271,4099.402880224798,Pullman School District
puyallup,0.870728545137872,0.8701750470704652,-0.000553498067406788,4071.8197040322216,Puyallup School District
quilcene,0.7292165242165001,0.798409090909091,0.06919256669259088,2822.981366459627,Quilcene School District
quillayute valley,0.6675841028209638,0.7537105008146228,0.08612639799365895,711.1901681759379,Quillayute Valley School District
quincy,0.7661192161812119,0.8003807786275865,0.03426156244637457,3320.2189531303457,Quincy School District
rainier,0.8923939297632258,0.9191943328887071,0.026800403125481265,3309.7014925373132,Rainier School District
raymond,0.8885124491869917,0.8905476190476187,0.0020351698606270174,3432.739059967585,Raymond School District
renton,0.7876152722817674,0.7984187329745782,0.010803460692810796,6732.961314188978,Renton School District
republic,0.7793424036281144,0.7758248299319693,-0.0035175736961450266,1915.915915915916,Republic School District
richland,0.7809741415766959,0.8285977835044195,0.047623641927723614,3069.753366621274,Richland School District
ridgefield,0.9147409188889712,0.9192230661297547,0.004482147240783441,3879.151660664266,Ridgefield School District
ritzville,0.71170909008764,0.7414748908944,0.029765800806759946,4572.222222222223,Ritzville School District
riverside,0.8404188992042756,0.8704839428251635,0.03006504362088791,2673.011556764106,Riverside School District
riverview,0.915192906075934,0.9276742006432985,0.012481294567364576,5380.225816295392,Riverview School District
rochester,0.8242887234777482,0.7584495192943352,-0.06583920418341294,2917.5398633257405,Rochester School District
royal,0.7889793679733362,0.8253722343569785,0.03639286638364225,1584.7214244686961,Royal School District
san juan island,0.8494700252103208,0.8571135905342436,0.007643565323922852,5134.328358208955,San Juan Island School District
seattle,0.7590076880571032,0.8092046590968598,0.05019697103975662,7621.584110133728,Seattle Public Schools
sedro woolley,0.673228001762511,0.6836930358946323,0.010465034132121298,3337.9310344827586,Sedro-Woolley School District
selah,0.8031874568961356,0.7308551396547316,-0.07233231724140399,2314.262023217247,Selah School District
sequim,0.8584365283618683,0.8754621148080746,0.01702558644620622,2461.836088638762,Sequim School District
shelton,0.7791856990512295,0.7968776435819168,0.017691944530687342,2996.062080148251,Shelton School District
shoreline,0.8668866853164556,0.8956898221367744,0.028803136820318764,5848.622881355932,Shoreline School District
snohomish,0.8414359528162438,0.8624165992365999,0.02098064642035602,5683.236539029432,Snohomish School District
snoqualmie valley,0.9067116425475842,0.9447080585920471,0.03799641604446291,5384.604233111047,Snoqualmie Valley School District
